Sample	PCOA1	PCOA2	LocType	Month	Compartment	Microsite	Location	CoMoss	Vege1	Vege2	Vege3	Vege4	SoilMoisture	SoilpH	SiteHumidity	AmbientTemp	SoilTemp	OrgLayer	LeafLitter	LeafLitterSpec	Canopy	Host
S-2-POLJUN-B	-1.0913023181604558	-1.4565407915433117	Natural	September	Brown	P	Eastmain 1	NA	salixsp 	alninc	pinban	NA	7.76	5.08	73	17.5	14.6	0	High	alninc	62.42	P_juniperinum
S-2-POLJUN-G	0.2815712553320204	-2.041126022532703	Natural	September	Green	P	Eastmain 1	NA	salixsp 	alninc	pinban	NA	7.76	5.08	73	17.5	14.6	0	High	alninc	62.42	P_juniperinum
S-2-POLPIL-B	1.1333548651755707	1.0480209897288841	Natural	September	Brown	J	Chemin PK	polstr	alninc	betpap	picmar	NA	14.99	4.8	45	26.5	19	0	Low	alninc	64.38	P_piliferum
S-2-POLPIL-G	1.6189228198903836	-0.7832298971326892	Natural	September	Green	J	Chemin PK	polstr	alninc	betpap	picmar	NA	14.99	4.8	45	26.5	19	0	Low	alninc	64.38	P_piliferum
S-20-POLJUN-B	1.4376437600756742	1.8004660002942114	Natural	September	Brown	AD	Pine Forest	polpil	kal	pinban	NA	NA	18.44	4.38	64	25.4	17.4	0	High	pinban	71.18	P_juniperinum
S-20-POLJUN-G	1.9983873628347404	1.016710229826724	Natural	September	Green	AD	Pine Forest	polpil	kal	pinban	NA	NA	18.44	4.38	64	25.4	17.4	0	High	pinban	71.18	P_juniperinum
S-20-POLPIL-B	1.1638225660824204	1.3816948955635335	Natural	September	Brown	X	Pine Forest	poljun	kalang	pinban	NA	NA	12.35	4.95	63	25	22.6	0	Low	pinban	71.57	P_piliferum
S-20-POLPIL-G	1.006174475841719	0.2735124677249225	Natural	September	Green	X	Pine Forest	poljun	kalang	pinban	NA	NA	12.35	4.95	63	25	22.6	0	Low	pinban	71.57	P_piliferum
S-21-POLJUN-B	0.8254808441704418	2.0682894017421267	Natural	September	Brown	AD	Pine Forest	polpil	kal	pinban	NA	NA	18.44	4.38	64	25.4	17.4	0	High	pinban	71.18	P_juniperinum
S-21-POLJUN-G	1.79174812077767	1.0366075025951058	Natural	September	Green	AD	Pine Forest	polpil	kal	pinban	NA	NA	18.44	4.38	64	25.4	17.4	0	High	pinban	71.18	P_juniperinum
S-21-POLPIL-G	0.729238021107142	0.2210292444360869	Natural	September	Green	X	Pine Forest	poljun	kalang	pinban	NA	NA	12.35	4.95	63	25	22.6	0	Low	pinban	71.57	P_piliferum
S-22-POLJUN-B	0.6639463302819782	1.9235908030908508	Natural	September	Brown	AE	Pine Forest	polpil	kal	pinban	NA	NA	16.25	4.67	68	24.5	18.9	0	Low	pinban	77.69	P_juniperinum
S-22-POLJUN-G	1.8210341445490101	0.6720086227192628	Natural	September	Green	AE	Pine Forest	polpil	kal	pinban	NA	NA	16.25	4.67	68	24.5	18.9	0	Low	pinban	77.69	P_juniperinum
S-22-POLPIL-B	0.01721347595554195	1.9243543000897054	Natural	September	Brown	Y	Pine Forest	poljun	kalang	pinban	NA	NA	18.26	4.31	63	25.3	16.8	0	Low	pinban	75.67	P_piliferum
S-22-POLPIL-G	1.5008232711778606	1.11793485571786	Natural	September	Green	Y	Pine Forest	poljun	kalang	pinban	NA	NA	18.26	4.31	63	25.3	16.8	0	Low	pinban	75.67	P_piliferum
S-23-POLJUN-B	1.0450598216956684	1.6014460044434506	Natural	September	Brown	AE	Pine Forest	polpil	kal	pinban	NA	NA	16.25	4.67	68	24.5	18.9	0	Low	pinban	77.69	P_juniperinum
S-23-POLJUN-G	1.849158618139632	0.466169620272047	Natural	September	Green	AE	Pine Forest	polpil	kal	pinban	NA	NA	16.25	4.67	68	24.5	18.9	0	Low	pinban	77.69	P_juniperinum
S-23-POLPIL-B	0.38440448986069337	1.78425884457857	Natural	September	Brown	Y	Pine Forest	poljun	kalang	pinban	NA	NA	18.26	4.31	63	25.3	16.8	0	Low	pinban	75.67	P_piliferum
S-23-POLPIL-G	1.8193784285117187	0.9144469559581989	Natural	September	Green	Y	Pine Forest	poljun	kalang	pinban	NA	NA	18.26	4.31	63	25.3	16.8	0	Low	pinban	75.67	P_piliferum
S-24-POLJUN-B	1.4228139391273675	1.7318774556230327	Natural	September	Brown	AE	Pine Forest	polpil	kal	pinban	NA	NA	16.25	4.67	68	24.5	18.9	0	Low	pinban	77.69	P_juniperinum
S-24-POLJUN-G	1.9154083702953093	0.020992564860880355	Natural	September	Green	AE	Pine Forest	polpil	kal	pinban	NA	NA	16.25	4.67	68	24.5	18.9	0	Low	pinban	77.69	P_juniperinum
S-24-POLPIL-B	0.7369421740377871	1.690916032866456	Natural	September	Brown	Y	Pine Forest	poljun	kalang	pinban	NA	NA	18.26	4.31	63	25.3	16.8	0	Low	pinban	75.67	P_piliferum
S-24-POLPIL-G	1.655760316248581	0.9543785166383629	Natural	September	Green	Y	Pine Forest	poljun	kalang	pinban	NA	NA	18.26	4.31	63	25.3	16.8	0	Low	pinban	75.67	P_piliferum
S-25-POLJUN-B	0.5242780910165256	1.6498261916009604	Natural	September	Brown	AF	Pine Forest	polpil	kal	pinban	NA	NA	25.13	4.73	65	24.6	16.9	0	Medium	pinban	65.52	P_juniperinum
S-25-POLJUN-G	1.403312208402128	0.1371810149169317	Natural	September	Green	AF	Pine Forest	polpil	kal	pinban	NA	NA	25.13	4.73	65	24.6	16.9	0	Medium	pinban	65.52	P_juniperinum
S-25-POLPIL-B	1.2984278672209584	1.4162523350371803	Natural	September	Brown	Z	Pine Forest	poljun	pinban	kalang	NA	NA	11.86	4.29	59	27.4	18.5	0	Medium	pinban	61.28	P_piliferum
S-25-POLPIL-G	1.7152741835853873	0.3614069199856022	Natural	September	Green	Z	Pine Forest	poljun	pinban	kalang	NA	NA	11.86	4.29	59	27.4	18.5	0	Medium	pinban	61.28	P_piliferum
S-26-POLJUN-B	0.6891990840133344	1.6287516465725622	Natural	September	Brown	AF	Pine Forest	polpil	kal	pinban	NA	NA	25.13	4.73	65	24.6	16.9	0	Medium	pinban	65.52	P_juniperinum
S-26-POLJUN-G	1.5209154160560672	0.6130745282102318	Natural	September	Green	AF	Pine Forest	polpil	kal	pinban	NA	NA	25.13	4.73	65	24.6	16.9	0	Medium	pinban	65.52	P_juniperinum
S-26-POLPIL-B	0.4319406463679023	1.9197354849106554	Natural	September	Brown	Z	Pine Forest	poljun	pinban	kalang	NA	NA	11.86	4.29	59	27.4	18.5	0	Medium	pinban	61.28	P_piliferum
S-26-POLPIL-G	1.7581660732987319	0.612954299704675	Natural	September	Green	Z	Pine Forest	poljun	pinban	kalang	NA	NA	11.86	4.29	59	27.4	18.5	0	Medium	pinban	61.28	P_piliferum
S-27-POLJUN-B	0.16213701541876085	1.7830148664862282	Natural	September	Brown	AF	Pine Forest	polpil	kal	pinban	NA	NA	25.13	4.73	65	24.6	16.9	0	Medium	pinban	65.52	P_juniperinum
S-27-POLPIL-B	0.8774176310985545	2.363685269103964	Natural	September	Brown	Z	Pine Forest	poljun	pinban	kalang	NA	NA	11.86	4.29	59	27.4	18.5	0	Medium	pinban	61.28	P_piliferum
S-27-POLPIL-G	1.5442609616403093	0.7984366521631272	Natural	September	Green	Z	Pine Forest	poljun	pinban	kalang	NA	NA	11.86	4.29	59	27.4	18.5	0	Medium	pinban	61.28	P_piliferum
S-3-DICUND-B	-4.157487958770794	1.734625566169719	Natural	September	Brown	U	Eastmain 2	NA	alncri	rhogro	NA	NA	224.22	4.11	67	29.8	14.5	0	None	none	69.22	D_undulatum
S-3-DICUND-G	-1.8278485432614227	1.4177932969549423	Natural	September	Green	U	Eastmain 2	NA	alncri	rhogro	NA	NA	224.22	4.11	67	29.5	14.5	0	None	none	69.22	D_undulatum
