"","block","plot","species","functional_div","species_richness","genus","group","PLOTID","X","Y","MONO","rel.abund.gym","UniqueID","biomass","volume","Wd","Seed.mass","LMA","Nmass","Amass","Llo"
"s358","D","MM6A","LALA",6,12,"Larix","Gymno","DMM6A",7,2,"notmono",0.5,"DMM6ALALA",764357.805263732,1559913.88829333,0.49,2,120.0000005,1.355,59.41951,6
"X476","D","MM6A","PIAB",6,12,"Picea","Gymno","DMM6A",7,2,"notmono",0.5,"DMM6APIAB",35140.8807136,94975.35328,0.37,7,235.18,1.19,29.31,103.2
"X484","D","MM6A","PIOM",6,12,"Picea","Gymno","DMM6A",7,2,"notmono",0.5,"DMM6APIOM",10309.84299,28638.45275,0.36,2.9,285.7299176,1.182903124,29.39155,61.88640351
"X557","D","MM6A","PIRU",6,12,"Picea","Gymno","DMM6A",7,2,"notmono",0.5,"DMM6APIRU",17938.4851386667,48482.3922666667,0.37,3.3,263,1.2,32,55
"X499","D","MM6A","QURO",6,12,"Quercus","Angio","DMM6A",7,2,"notmono",0.5,"DMM6AQURO",1709553.03777066,3052773.28173333,0.56,3378,64.85453931,1.86,85.1,6.000673539
"X474","D","MM6A","TICO",6,12,"Tilia","Angio","DMM6A",7,2,"notmono",0.5,"DMM6ATICO",1003309.87232157,2378131.43786667,0.42189,50.9,49.1117001,2.125,83.85,4.799544249
"X508","D","MM6B","ACPL",5,12,"Acer","Angio","DMM6B",8,3,"notmono",0.75,"DMM6BACPL",753452.115613335,1458764.98666667,0.5165,130.3,46.44681839,1.62,83.07,6.000673539
"s334","D","MM6B","BEPA",5,12,"Betula","Angio","DMM6B",8,3,"notmono",0.75,"DMM6BBEPA",2352597.6056,4901245.01166667,0.48,0.3,85.50806324,2.208401667,195,5.5
"X502","D","MM6B","LADE",5,12,"Larix","Gymno","DMM6B",8,3,"notmono",0.75,"DMM6BLADE",124716.96535375,263365.991666667,0.47355,7.1,86.28640264,1.955,71.616275,6.000336769
"X524","D","MM6B","PIAB",5,12,"Picea","Gymno","DMM6B",8,3,"notmono",0.75,"DMM6BPIAB",26685.08561,72121.853,0.37,7,235.18,1.19,29.31,103.2
"X503","D","MM6B","PIGL",5,12,"Picea","Gymno","DMM6B",8,3,"notmono",0.75,"DMM6BPIGL",37418.8811149999,113390.548833333,0.33,2.4,302.86,1.28,35.58,50
"X559","D","MM6B","PIOM",5,12,"Picea","Gymno","DMM6B",8,3,"notmono",0.75,"DMM6BPIOM",3099.3249792,8609.23605333333,0.36,2.9,285.7299176,1.182903124,29.39155,61.88640351
"s291","D","MM6B","PIRE",5,12,"Pinus","Gymno","DMM6B",8,3,"notmono",0.75,"DMM6BPIRE",43706.7421,106601.81,0.41,9,294.12,1.17,24,36
"X501","D","MM6B","PIST",5,12,"Pinus","Gymno","DMM6B",8,3,"notmono",0.75,"DMM6BPIST",71028.6972589868,208907.933114667,0.34,17,121.9153937,1.423333333,43.79823667,20
"s289","D","MM6B","PISY",5,12,"Pinus","Gymno","DMM6B",8,3,"notmono",0.75,"DMM6BPISY",62272.2995738665,147564.690933333,0.422,6,292.7551279,1.217940293,36.85035,27.90024909
"X509","D","MM6B","QURU",5,12,"Quercus","Angio","DMM6B",8,3,"notmono",0.75,"DMM6BQURU",952155.465893335,1700277.61766667,0.56,3143,88.02929621,2.030464833,148.5518182,6.000673539
"X517","D","MM6B","THOC",5,12,"Thuya","Gymno","DMM6B",8,3,"notmono",0.75,"DMM6BTHOC",43770.4405700001,145901.468566667,0.3,1.5,223.0000016,1.02,32.22441,33
"X495","D","MM6B","TICO",5,12,"Tilia","Angio","DMM6B",8,3,"notmono",0.75,"DMM6BTICO",612057.853375773,1450752.21829333,0.42189,50.9,49.1117001,2.125,83.85,4.799544249
"s315","D","PIAB","PIAB",0,1,"Picea","Gymno","DPIAB",8,9,"mono",1,"DPIABPIAB",163840.775595714,442812.907015444,0.37,7,235.18,1.19,29.31,103.2
"X493","D","PIGL","PIGL",0,1,"Picea","Gymno","DPIGL",7,7,"mono",1,"DPIGLPIGL",144330.353818347,437364.708540444,0.33,2.4,302.86,1.28,35.58,50
"s355","D","PIOM","PIOM",0,1,"Picea","Gymno","DPIOM",12,4,"mono",1,"DPIOMPIOM",20869.0747146,57969.651985,0.36,2.9,285.7299176,1.182903124,29.39155,61.88640351
"X485","D","PIRE","PIRE",0,1,"Pinus","Gymno","DPIRE",11,9,"mono",1,"DPIREPIRE",173234.865678209,422524.062629778,0.41,9,294.12,1.17,24,36
"X535","D","PIRU","PIRU",0,1,"Picea","Gymno","DPIRU",9,1,"mono",1,"DPIRUPIRU",104612.525118709,282736.554374889,0.37,3.3,263,1.2,32,55
"X471","D","PIST","PIST",0,1,"Pinus","Gymno","DPIST",12,7,"mono",1,"DPISTPIST",214112.769502533,629743.439713333,0.34,17,121.9153937,1.423333333,43.79823667,20
"X526","D","PISY","PISY",0,1,"Pinus","Gymno","DPISY",7,6,"mono",1,"DPISYPISY",277053.367401227,656524.567301486,0.422,6,292.7551279,1.217940293,36.85035,27.90024909
"X523","D","QURO","QURO",0,1,"Quercus","Angio","DQURO",10,2,"mono",0,"DQUROQURO",201701.074533696,360180.490238743,0.56,3378,64.85453931,1.86,85.1,6.000673539
"X534","D","QURU","QURU",0,1,"Quercus","Angio","DQURU",8,5,"mono",0,"DQURUQURU",392822.309773289,701468.410309445,0.56,3143,88.02929621,2.030464833,148.5518182,6.000673539
"s290","D","THOC","THOC",0,1,"Thuya","Gymno","DTHOC",8,6,"mono",1,"DTHOCTHOC",170108.838390233,567029.461300778,0.3,1.5,223.0000016,1.02,32.22441,33
"X488","D","TICO","TICO",0,1,"Tilia","Angio","DTICO",10,7,"mono",0,"DTICOTICO",466165.952013873,1104946.67333635,0.42189,50.9,49.1117001,2.125,83.85,4.799544249
