"","block","plot","species","functional_div","species_richness","genus","group","PLOTID","X","Y","MONO","rel.abund.gym","UniqueID","biomass","volume","Wd","Seed.mass","LMA","Nmass","Amass","Llo"
"s385","C","4N7","ACRU",7,4,"Acer","Angio","C4N7",10,18,"notmono",0.5,"C4N7ACRU",268212.066877222,547371.565055556,0.49,23.7,71.09370696,1.913837571,111.1536882,5.566666667
"s395","C","4N7","PIST",7,4,"Pinus","Gymno","C4N7",10,18,"notmono",0.5,"C4N7PIST",45658.5661554932,134289.900457333,0.34,17,121.9153937,1.423333333,43.79823667,20
"s449","C","4N7","QURU",7,4,"Quercus","Angio","C4N7",10,18,"notmono",0.5,"C4N7QURU",994793.646591114,1776417.22605556,0.56,3143,88.02929621,2.030464833,148.5518182,6.000673539
"X586","C","4N7","THOC",7,4,"Thuya","Gymno","C4N7",10,18,"notmono",0.5,"C4N7THOC",21988.0475466667,73293.4918222222,0.3,1.5,223.0000016,1.02,32.22441,33
"s446","C","4N8","ACSA",8,4,"Acer","Angio","C4N8",9,16,"notmono",0.5,"C4N8ACSA",508783.247491556,908541.513377778,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"s396","C","4N8","BEAL",8,4,"Betula","Angio","C4N8",9,16,"notmono",0.5,"C4N8BEAL",784909.628752331,1427108.41591333,0.55,1,46.08294931,2.2,206,5.5
"s412","C","4N8","PIGL",8,4,"Picea","Gymno","C4N8",9,16,"notmono",0.5,"C4N8PIGL",38472.9910545199,116584.821377333,0.33,2.4,302.86,1.28,35.58,50
"s369","C","4N8","THOC",8,4,"Thuya","Gymno","C4N8",9,16,"notmono",0.5,"C4N8THOC",52217.1753597333,174057.251199111,0.3,1.5,223.0000016,1.02,32.22441,33
"X581","C","4NR2","PIGL",2,4,"Picea","Gymno","C4NR2",11,16,"notmono",1,"C4NR2PIGL",68209.1627736935,206694.432647556,0.33,2.4,302.86,1.28,35.58,50
"X584","C","4NR2","PIRE",2,4,"Pinus","Gymno","C4NR2",11,16,"notmono",1,"C4NR2PIRE",279423.740240053,681521.317658667,0.41,9,294.12,1.17,24,36
"X582","C","4NR2","PIRU",2,4,"Picea","Gymno","C4NR2",11,16,"notmono",1,"C4NR2PIRU",53271.5394226268,143977.133574667,0.37,3.3,263,1.2,32,55
"s447","C","4NR2","PIST",2,4,"Pinus","Gymno","C4NR2",11,16,"notmono",1,"C4NR2PIST",336713.835700711,990334.810884444,0.34,17,121.9153937,1.423333333,43.79823667,20
"s375","C","4NR7","ACSA",7,4,"Acer","Angio","C4NR7",10,10,"notmono",0.5,"C4NR7ACSA",93810.3528787914,167518.487283556,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"X608","C","4NR7","BEPA",7,4,"Betula","Angio","C4NR7",10,10,"notmono",0.5,"C4NR7BEPA",2696081.91193899,5616837.31653956,0.48,0.3,85.50806324,2.208401667,195,5.5
"X597","C","4NR7","PIGL",7,4,"Picea","Gymno","C4NR7",10,10,"notmono",0.5,"C4NR7PIGL",17288.5160550667,52389.4425911111,0.33,2.4,302.86,1.28,35.58,50
"X568","C","4NR7","PIST",7,4,"Pinus","Gymno","C4NR7",10,10,"notmono",0.5,"C4NR7PIST",21287.1264799733,62609.1955293333,0.34,17,121.9153937,1.423333333,43.79823667,20
"s374","C","ABBA","ABBA",0,1,"Abies","Gymno","CABBA",12,17,"mono",1,"CABBAABBA",143108.53922299,433662.240069667,0.33,7.6,143,1.45,50,84
"s394","C","ACPL","ACPL",0,1,"Acer","Angio","CACPL",12,18,"mono",0,"CACPLACPL",471410.305623944,912701.462969882,0.5165,130.3,46.44681839,1.62,83.07,6.000673539
"X462","C","ACRU","ACRU",0,1,"Acer","Angio","CACRU",11,12,"mono",0,"CACRUACRU",365420.296948856,745755.708058889,0.49,23.7,71.09370696,1.913837571,111.1536882,5.566666667
"s397","C","ACSA","ACSA",0,1,"Acer","Angio","CACSA",11,11,"mono",0,"CACSAACSA",258296.351990258,461243.485696889,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"s376","C","BEAL","BEAL",0,1,"Betula","Angio","CBEAL",7,15,"mono",0,"CBEALBEAL",400460.132148572,728109.331179222,0.55,1,46.08294931,2.2,206,5.5
"s401","C","BEPA","BEPA",0,1,"Betula","Angio","CBEPA",8,17,"mono",0,"CBEPABEPA",369146.447881067,769055.099752222,0.48,0.3,85.50806324,2.208401667,195,5.5
"s370","C","LADE","LADE",0,1,"Larix","Gymno","CLADE",8,16,"mono",1,"CLADELADE",581596.515155959,1228162.84480194,0.47355,7.1,86.28640264,1.955,71.616275,6.000336769
"s389","C","LALA","LALA",0,1,"Larix","Gymno","CLALA",12,13,"mono",1,"CLALALALA",447828.922441499,913936.576411222,0.49,2,120.0000005,1.355,59.41951,6
"s377","C","M1","ACPL",1,4,"Acer","Angio","CM1",9,18,"notmono",0,"CM1ACPL",271170.345196779,525015.189151556,0.5165,130.3,46.44681839,1.62,83.07,6.000673539
"X605","C","M1","ACRU",1,4,"Acer","Angio","CM1",9,18,"notmono",0,"CM1ACRU",616909.370526184,1258998.71535956,0.49,23.7,71.09370696,1.913837571,111.1536882,5.566666667
"X580","C","M1","BEAL",1,4,"Betula","Angio","CM1",9,18,"notmono",0,"CM1BEAL",136475.900048767,248138.000088667,0.55,1,46.08294931,2.2,206,5.5
"s409","C","M1","TICO",1,4,"Tilia","Angio","CM1",9,18,"notmono",0,"CM1TICO",156158.485418045,370140.286373333,0.42189,50.9,49.1117001,2.125,83.85,4.799544249
"s415","C","M2","LALA",2,4,"Larix","Gymno","CM2",7,18,"notmono",1,"CM2LALA",1117519.63673075,2280652.31985867,0.49,2,120.0000005,1.355,59.41951,6
"s423","C","M2","PIAB",2,4,"Picea","Gymno","CM2",7,18,"notmono",1,"CM2PIAB",109818.590052787,296807.000142667,0.37,7,235.18,1.19,29.31,103.2
"s391","C","M2","PIRU",2,4,"Picea","Gymno","CM2",7,18,"notmono",1,"CM2PIRU",34101.9465208533,92167.4230293333,0.37,3.3,263,1.2,32,55
"s457","C","M2","PISY",2,4,"Pinus","Gymno","CM2",7,18,"notmono",1,"CM2PISY",167014.700921058,395769.433462222,0.422,6,292.7551279,1.217940293,36.85035,27.90024909
"X588","C","M3","LADE",3,4,"Larix","Gymno","CM3",10,13,"notmono",0.75,"CM3LADE",221317.137057266,467357.485075,0.47355,7.1,86.28640264,1.955,71.616275,6.000336769
"s452","C","M3","PIRE",3,4,"Pinus","Gymno","CM3",10,13,"notmono",0.75,"CM3PIRE",26237.5830792857,63994.1050714286,0.41,9,294.12,1.17,24,36
"s410","C","M3","PISY",3,4,"Pinus","Gymno","CM3",10,13,"notmono",0.75,"CM3PISY",37525.010328295,88921.8254225,0.422,6,292.7551279,1.217940293,36.85035,27.90024909
